Ctry,Year,SR,Lat,Lon,PType,PNum,Catch
DK,1998,41G2,56.25,12.5,M,2,0.005
DK,1998,42G1,56.75,11.5,M,2,0.008
DK,1998,42G2,56.75,12.5,M,2,0.003
DK,1998,43G0,57.25,10.5,M,2,0.002
DK,1998,43G1,57.25,11.5,M,2,0.041
DK,1998,44F5,57.75,5.5,M,2,0.001
DK,1998,44F8,57.75,8.5,M,2,0.002
DK,1998,44F9,57.75,9.5,M,2,0.001
DK,1998,44G0,57.75,10.5,M,2,0.002
DK,1998,44G1,57.75,11.5,M,2,0.002
DK,1998,49F3,60.25,3.5,M,2,99.627
DK,1998,50E5,60.75,-4.5,M,2,651.213
DK,1998,50F3,60.75,3.5,M,2,4.526
DK,1998,51E5,61.25,-4.5,M,2,643.777
DK,1998,51E6,61.25,-3.5,M,2,535.121
DK,1998,51E8,61.25,-1.5,M,2,30.956
DK,1998,51E9,61.25,-0.5,M,2,175.421
DK,1998,52E6,61.75,-3.5,M,2,830.394
DK,1998,39G1,55.25,11.5,M,3,0.001
DK,1998,41G1,56.25,11.5,M,3,0.009
DK,1998,41G2,56.25,12.5,M,3,0.015
DK,1998,42G0,56.75,10.5,M,3,0.002
DK,1998,42G1,56.75,11.5,M,3,0.025
DK,1998,42G2,56.75,12.5,M,3,0.001
DK,1998,43F7,57.25,7.5,M,3,0.001
DK,1998,43G0,57.25,10.5,M,3,0.003
DK,1998,43G1,57.25,11.5,M,3,0.106
DK,1998,44F2,57.75,2.5,M,3,4.938
DK,1998,44F3,57.75,3.5,M,3,10.387
DK,1998,44F4,57.75,4.5,M,3,9.577
DK,1998,44F5,57.75,5.5,M,3,0.002
DK,1998,44F6,57.75,6.5,M,3,0.001
DK,1998,44F7,57.75,7.5,M,3,0.004
DK,1998,44F8,57.75,8.5,M,3,0.003
DK,1998,44F9,57.75,9.5,M,3,0.008
DK,1998,44G0,57.75,10.5,M,3,0.043
DK,1998,44G1,57.75,11.5,M,3,0.005
DK,1998,45F2,58.25,2.5,M,3,2.055
DK,1998,45F4,58.25,4.5,M,3,0.002
DK,1998,45F5,58.25,5.5,M,3,0.001
DK,1998,45G0,58.25,10.5,M,3,0.002
DK,1998,46F3,58.75,3.5,M,3,0.321
DK,1998,47F3,59.25,3.5,M,3,1.938
DK,1998,48F3,59.75,3.5,M,3,3.59
DK,1998,49F2,60.25,2.5,M,3,4.06
DK,1998,49F3,60.25,3.5,M,3,0.013
DK,1998,50F2,60.75,2.5,M,3,9.394
DK,1998,50F3,60.75,3.5,M,3,0.001
DK,1998,51F1,61.25,1.5,M,3,5.152
DK,1998,51F2,61.25,2.5,M,3,41.143
DK,1998,51F3,61.25,3.5,M,3,2.195
DK,1998,52F1,61.75,1.5,M,3,52.451
DK,1998,52F2,61.75,2.5,M,3,7.711
DK,1998,34F3,52.75,3.5,M,4,0.001
DK,1998,41F6,56.25,6.5,M,4,0.001
DK,1998,41G2,56.25,12.5,M,4,0.007
DK,1998,42G1,56.75,11.5,M,4,0.001
DK,1998,43F3,57.25,3.5,M,4,0.001
DK,1998,43G0,57.25,10.5,M,4,0.001
DK,1998,43G1,57.25,11.5,M,4,0.026
DK,1998,44F5,57.75,5.5,M,4,0.005
DK,1998,44F6,57.75,6.5,M,4,0.001
DK,1998,44F7,57.75,7.5,M,4,0.004
DK,1998,44F9,57.75,9.5,M,4,0.001
DK,1998,44G0,57.75,10.5,M,4,0.019
DK,1998,44G1,57.75,11.5,M,4,0.007
DK,1998,45F5,58.25,5.5,M,4,0.002
DK,1998,45G0,58.25,10.5,M,4,57.772
DK,1998,47F3,59.25,3.5,M,4,0.007
DK,1998,48F3,59.75,3.5,M,4,0.011
DK,1998,49F3,60.25,3.5,M,4,0.003
DK,1998,50F2,60.75,2.5,M,4,0.007
DK,1998,50F3,60.75,3.5,M,4,0.005
DK,1998,51F1,61.25,1.5,M,4,0.006
DK,1998,51F2,61.25,2.5,M,4,0.047
DK,1998,52F1,61.75,1.5,M,4,0.018
DK,1998,52F2,61.75,2.5,M,4,0.014
DK,1998,31F2,51.25,2.5,M,5,0.012
DK,1998,32F2,51.75,2.5,M,5,0.002
DK,1998,33F4,52.25,4.5,M,5,0.014
DK,1998,34F4,52.75,4.5,M,5,0.012
DK,1998,35F4,53.25,4.5,M,5,0.02
DK,1998,35F5,53.25,5.5,M,5,0.007
DK,1998,36F1,53.75,1.5,M,5,3.347
DK,1998,36F2,53.75,2.5,M,5,20.338
DK,1998,36F3,53.75,3.5,M,5,4.638
DK,1998,37F0,54.25,0.5,M,5,12.536
DK,1998,37F1,54.25,1.5,M,5,61.822
DK,1998,37F2,54.25,2.5,M,5,26.828
DK,1998,37F3,54.25,3.5,M,5,7.72
DK,1998,37F4,54.25,4.5,M,5,0.564
DK,1998,38F0,54.75,0.5,M,5,0.612
DK,1998,38F1,54.75,1.5,M,5,52.131
DK,1998,38F2,54.75,2.5,M,5,2.475
DK,1998,38F3,54.75,3.5,M,5,1.765
DK,1998,38F4,54.75,4.5,M,5,0.573
DK,1998,39F0,55.25,0.5,M,5,0.421
DK,1998,39F1,55.25,1.5,M,5,16.389
DK,1998,39F2,55.25,2.5,M,5,1.262
DK,1998,39F4,55.25,4.5,M,5,0.718
DK,1998,39F5,55.25,5.5,M,5,0.216
DK,1998,39F6,55.25,6.5,M,5,0.142
DK,1998,40F1,55.75,1.5,M,5,0.013
DK,1998,40F2,55.75,2.5,M,5,0.15
DK,1998,40F4,55.75,4.5,M,5,0.003
DK,1998,41F4,56.25,4.5,M,5,0.133
DK,1998,41F5,56.25,5.5,M,5,0.615
DK,1998,41F6,56.25,6.5,M,5,0.418
DK,1998,42F4,56.75,4.5,M,5,0.021
DK,1998,42F5,56.75,5.5,M,5,0.033
DK,1998,42F6,56.75,6.5,M,5,0.041
DK,1998,42F7,56.75,7.5,M,5,0.001
DK,1998,43F5,57.25,5.5,M,5,0.001
DK,1998,43F6,57.25,6.5,M,5,0.006
DK,1998,43F8,57.25,8.5,M,5,1.84
DK,1998,43G1,57.25,11.5,M,5,0.008
DK,1998,44F5,57.75,5.5,M,5,0.003
DK,1998,44F9,57.75,9.5,M,5,0.05
DK,1998,44G0,57.75,10.5,M,5,0.044
DK,1998,44G1,57.75,11.5,M,5,0.003
DK,1998,45F4,58.25,4.5,M,5,0.004
DK,1998,45F5,58.25,5.5,M,5,0.003
DK,1998,45G0,58.25,10.5,M,5,0.003
DK,1998,46F3,58.75,3.5,M,5,0.002
DK,1998,46G0,58.75,10.5,M,5,0.001
DK,1998,47F3,59.25,3.5,M,5,0.002
DK,1998,48F3,59.75,3.5,M,5,0.002
DK,1998,49F3,60.25,3.5,M,5,0.021
DK,1998,50F2,60.75,2.5,M,5,0.001
DK,1998,50F3,60.75,3.5,M,5,0.004
DK,1998,31F2,51.25,2.5,M,6,0.003
DK,1998,32F2,51.75,2.5,M,6,0.009
DK,1998,33F2,52.25,2.5,M,6,0.012
DK,1998,33F3,52.25,3.5,M,6,0.002
DK,1998,34F3,52.75,3.5,M,6,0.672
DK,1998,34F4,52.75,4.5,M,6,0.001
DK,1998,35F1,53.25,1.5,M,6,0.793
DK,1998,35F2,53.25,2.5,M,6,0.963
DK,1998,35F4,53.25,4.5,M,6,0.565
DK,1998,36F0,53.75,0.5,M,6,0.004
DK,1998,36F1,53.75,1.5,M,6,1.147
DK,1998,36F2,53.75,2.5,M,6,2.078
DK,1998,36F3,53.75,3.5,M,6,0.473
DK,1998,36F5,53.75,5.5,M,6,1.957
DK,1998,36F6,53.75,6.5,M,6,2.605
DK,1998,36F7,53.75,7.5,M,6,0.103
DK,1998,37F0,54.25,0.5,M,6,3.456
DK,1998,37F1,54.25,1.5,M,6,11.697
DK,1998,37F2,54.25,2.5,M,6,3.223
DK,1998,37F3,54.25,3.5,M,6,0.03
DK,1998,37F6,54.25,6.5,M,6,0.396
DK,1998,37F7,54.25,7.5,M,6,0.694
DK,1998,37F8,54.25,8.5,M,6,0.126
DK,1998,38F0,54.75,0.5,M,6,0.111
DK,1998,38F1,54.75,1.5,M,6,10.491
DK,1998,38F2,54.75,2.5,M,6,0.489
DK,1998,38F6,54.75,6.5,M,6,0.479
DK,1998,38F7,54.75,7.5,M,6,5.781
DK,1998,39F0,55.25,0.5,M,6,0.005
DK,1998,39F1,55.25,1.5,M,6,4.069
DK,1998,39F2,55.25,2.5,M,6,0.519
DK,1998,39F4,55.25,4.5,M,6,0.316
DK,1998,39F5,55.25,5.5,M,6,0.034
DK,1998,39F6,55.25,6.5,M,6,1.386
DK,1998,39F7,55.25,7.5,M,6,5.139
DK,1998,40E8,55.75,-1.5,M,6,1.12
DK,1998,40F4,55.75,4.5,M,6,0.54
DK,1998,40F5,55.75,5.5,M,6,0.295
DK,1998,40F6,55.75,6.5,M,6,0.577
DK,1998,40F7,55.75,7.5,M,6,0.816
DK,1998,41E8,56.25,-1.5,M,6,16.926
DK,1998,41E9,56.25,-0.5,M,6,2.754
DK,1998,41F0,56.25,0.5,M,6,0.509
DK,1998,41F4,56.25,4.5,M,6,0.158
DK,1998,41F5,56.25,5.5,M,6,0.703
DK,1998,41F6,56.25,6.5,M,6,1.497
DK,1998,41F7,56.25,7.5,M,6,0.205
DK,1998,41F8,56.25,8.5,M,6,1.049
DK,1998,41G1,56.25,11.5,M,6,0.002
DK,1998,41G2,56.25,12.5,M,6,0.001
DK,1998,42F3,56.75,3.5,M,6,0.47
DK,1998,42F4,56.75,4.5,M,6,10.764
DK,1998,42F5,56.75,5.5,M,6,0.186
DK,1998,42F6,56.75,6.5,M,6,0.787
DK,1998,42F7,56.75,7.5,M,6,0.53
DK,1998,42F8,56.75,8.5,M,6,0.082
DK,1998,42G1,56.75,11.5,M,6,0.002
DK,1998,43F4,57.25,4.5,M,6,1.376
DK,1998,43F5,57.25,5.5,M,6,0.569
DK,1998,43F7,57.25,7.5,M,6,0.408
DK,1998,43F8,57.25,8.5,M,6,1.624
DK,1998,43F9,57.25,9.5,M,6,0.036
DK,1998,43G0,57.25,10.5,M,6,0.004
DK,1998,43G1,57.25,11.5,M,6,0.023
DK,1998,44F3,57.75,3.5,M,6,1.547
DK,1998,44F4,57.75,4.5,M,6,0.184
DK,1998,44F5,57.75,5.5,M,6,0.001
DK,1998,44F8,57.75,8.5,M,6,0.011
DK,1998,44F9,57.75,9.5,M,6,0.312
DK,1998,44G0,57.75,10.5,M,6,0.151
DK,1998,44G1,57.75,11.5,M,6,0.059
DK,1998,31F2,51.25,2.5,M,7,0.005
